tle_line1,tle_line2
1 25990U 99066B   25081.15921062  .00000091  00000-0  00000-0 0  9997,2 25990  70.4832 312.0042 6820823 110.5283   0.0240  0.55301959 22852
1 25990U 99066B   25081.15921062  .00000091  00000-0  00000+0 0  9996,2 25990  70.4832 312.0042 6820823 110.5283   0.0240  0.55301959 38859
1 62906U 25026E   25080.81267097  .02145104 -10607-5  49700-3 0  9993,2 62906  81.9853 168.9958 0088535 264.5169 206.8975 16.19775747  7027
1 40258U 14058A   25080.80084542 -.00000136  00000-0  00000+0 0  9993,2 40258   0.7215  88.0119 0004462 266.7014  95.0236  1.00272391 38400
1 63349U 25059F   25080.79746547 -.00000064  00000-0  00000+0 0  9990,2 63349  97.5976 261.0018 0012375 294.0126 205.7161 15.09337243    43
1 63349U 25059F   25080.79746547 -.00000064  00000-0  00000+0 0  9990,2 63349  97.5976 261.0018 0012375 294.0126 205.7161 15.09337243    43
1 63348U 25059E   25080.79747190 -.00000064  00000-0  00000+0 0  9994,2 63348  97.5970 260.9967 0011853 311.3090 188.4459 15.09037948    46
1 63348U 25060E   25080.79747190 -.00000064  00000-0  00000+0 0  9996,2 63348  97.5970 260.9967 0011853 311.3090 188.4459 15.09037948    46
1 63349U 25060F   25080.79746547 -.00000064  00000-0  00000+0 0  9992,2 63349  97.5976 261.0018 0012375 294.0126 205.7161 15.09337243    43
1 63344U 25059A   25080.79740444 -.00000064  00000-0  00000+0 0  9995,2 63344  97.5937 261.0111 0010560 300.4221 198.7873 15.08850810    52
1 63344U 25060A   25080.79740444 -.00000064  00000-0  00000+0 0  9997,2 63344  97.5937 261.0111 0010560 300.4221 198.7873 15.08850810    52
1 63345U 25059B   25080.79217528 -.00000063  00000-0  00000+0 0  9997,2 63345  97.5954 260.9947 0008586 322.4121 148.4193 15.08185183    56
1 63345U 25060B   25080.79217528 -.00000063  00000-0  00000+0 0  9999,2 63345  97.5954 260.9947 0008586 322.4121 148.4193 15.08185183    56
1 63347U 25059D   25080.79208769 -.00000064  00000-0  00000+0 0  9997,2 63347  97.5984 260.9962 0012268 290.3301 180.1375 15.09415020    55
1 63347U 25060D   25080.79208769 -.00000064  00000-0  00000+0 0  9999,2 63347  97.5984 260.9962 0012268 290.3301 180.1375 15.09415020    55
1 63346U 25059C   25080.79208191 -.00000065  00000-0  00000+0 0  9996,2 63346  97.5974 260.9964 0012671 287.2803 183.1529 15.09614385    54
1 63346U 25060C   25080.79208191 -.00000065  00000-0  00000+0 0  9998,2 63346  97.5974 260.9964 0012671 287.2803 183.1529 15.09614385    54
1 49961U 21122A   25080.79125570  .00006042  00000-0  53097-3 0  9997,2 49961  97.3598  68.6700 0002382  98.9150 261.2343 14.96895276181015
1 58172U 23165C   25080.78738521  .00000124  00000-0  14183-3 0  9993,2 58172  67.1497 307.9924 0018248 308.3844  51.5601 13.97259469 71153
1 62902U 25026A   25080.78679556  .00004333  00000-0  41159-3 0  9998,2 62902  81.9987 175.4766 0012178 111.8384 248.4131 14.93256038  6666
1 62903U 25026B   25080.78676363  .00003192  00000-0  30269-3 0  9994,2 62903  81.9991 175.4765 0012225 111.8779 248.3741 14.93249302  6653
1 58428U 23165D   25080.78356340  .00000163  00000-0  16995-3 0  9998,2 58428  67.1488 307.9713 0018192 308.7509  51.1950 13.97313221 67620
1 45771U 20038AT  25080.78286640  .08392476  12348-4  68785-3 0  9991,2 45771  53.0261 284.1682 0007400 276.7659 189.8080 16.38938947265462
1 49962U 21122B   25080.78067030  .00005868  00000-0  37160-3 0  9991,2 49962  97.3425  73.7769 0002581 120.9091 239.2392 15.09327000181444
1 51511U 22011A   25080.77108402 -.00000036  00000-0 -25826-4 0  9991,2 51511  67.0951 323.9142 0004275 269.4702  90.5751 11.32843418129199
1 62461U 24253C   25080.76680344  .00546258  14630-3  92270-3 0  9998,2 62461  55.2122 226.7906 0000927 328.8734  31.2270 16.02226571 12823
1 55131U 23002A   25080.76636116 -.00000137  00000-0  00000+0 0  9994,2 55131   2.5496  84.1020 0000755 341.6457 190.2750  1.00093968  8159
1 43874U 18110A   25080.76420144 -.00000278  00000-0  00000+0 0  9997,2 43874   1.3727  85.9294 0000256   3.6691 149.6200  1.00036700 22949
1 54383U 22163C   25080.76245366  .00000124  00000-0  14159-3 0  9991,2 54383  67.1403 123.7897 0003466  25.1424 334.9830 13.97611186117349
1 49330U 21094A   25080.76176509 -.00000256  00000-0  00000+0 0  9994,2 49330  10.3338  43.1698 0078007  38.3221 156.3571  1.00243684 12718
1 54817U 22163D   25080.76045516  .00000222  00000-0  21150-3 0  9996,2 54817  67.1383 124.8338 0003760  56.7164 303.4281 13.97326812114277
1 59020U 24037A   25080.75983686 -.00000362  00000-0  00000+0 0  9990,2 59020   4.8655 322.6962 0004048  65.0542 185.6319  1.00275396  4060
